2021-03-18 09:40:58AM 858ms | Program Started
2021-03-18 09:40:58AM 861ms | Setting up sensors
2021-03-18 09:40:59AM 007ms | GPS Enabled
2021-03-18 09:40:59AM 081ms | Altimeter Disconnected
2021-03-18 09:40:59AM 083ms | No I2C device at address: 0x60
2021-03-18 09:40:59AM 226ms | Accelerometer Disconnected
2021-03-18 09:40:59AM 228ms | No I2C device at address: 0x1f
2021-03-18 09:40:59AM 230ms | Starting transmissions
2021-03-18 09:40:59AM 243ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:41:13AM 390ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:41:24AM 949ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:41:37AM 222ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:41:48AM 394ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:41:59AM 915ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:42:11AM 090ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:42:22AM 895ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:42:34AM 730ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:42:46AM 067ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:42:57AM 230ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:43:08AM 636ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:43:19AM 690ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:43:31AM 156ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:43:42AM 521ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:43:53AM 726ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:44:05AM 071ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:44:16AM 236ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:44:28AM 034ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:44:39AM 457ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:44:50AM 581ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:45:02AM 039ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:45:13AM 472ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:45:24AM 607ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:45:35AM 782ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:45:47AM 338ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:45:58AM 782ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:46:10AM 237ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:46:21AM 682ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:46:33AM 248ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:46:45AM 006ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:46:56AM 438ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:47:07AM 552ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:47:18AM 828ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:47:30AM 015ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:47:41AM 228ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:47:52AM 783ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:48:04AM 021ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:48:15AM 434ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:48:26AM 598ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:48:37AM 753ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:48:49AM 248ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:49:00AM 664ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:49:12AM 099ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:49:23AM 434ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:49:34AM 571ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:49:46AM 204ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:49:57AM 531ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:50:09AM 004ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:50:20AM 129ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:50:31AM 464ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:50:42AM 629ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:50:53AM 784ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:51:05AM 010ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:51:16AM 294ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:51:27AM 532ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:51:38AM 905ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:51:50AM 390ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:52:02AM 024ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:52:13AM 210ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:52:24AM 795ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:52:36AM 160ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:52:47AM 605ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:52:58AM 870ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:53:10AM 285ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:53:22AM 070ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:53:34AM 105ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:53:45AM 513ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:53:56AM 786ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:54:07AM 831ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:54:19AM 075ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:54:30AM 281ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:54:41AM 735ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:54:52AM 991ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:55:04AM 106ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:55:15AM 221ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:55:26AM 716ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:55:38AM 281ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:55:49AM 256ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:56:00AM 701ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:56:12AM 366ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:56:23AM 391ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:56:34AM 656ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:56:46AM 212ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:56:57AM 588ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:57:08AM 842ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:57:20AM 457ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:57:31AM 752ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:57:43AM 580ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:57:54AM 653ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:58:06AM 227ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:58:17AM 653ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:58:28AM 857ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:58:39AM 953ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:58:51AM 148ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:59:02AM 536ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:59:13AM 707ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:59:25AM 003ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:59:36AM 478ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:59:47AM 555ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 09:59:58AM 858ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:00:10AM 213ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:00:21AM 338ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:00:32AM 873ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:00:44AM 178ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:00:55AM 554ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:01:06AM 638ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:01:18AM 023ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:01:29AM 679ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
2021-03-18 10:01:41AM 354ms | !0000.00N\00000.00WO000/000/A=000000 CSU ROCKET TEAM a=?,?,?
